Kimice | [{'Kimice': ['4d', '4c']}, {'Hanson': ['5c', '7d']}] | ['7c', '9d', 'Ah', 'Qd', '3d'] | Hanson
Kimice | [{'Kimice': ['7s', 'Kh']}, {'Hanson': ['6h', '4h']}] | ['Js', '4c', '3c', '8c', '5c'] | Hanson
Hanson | [{'Kimice': ['5s', 'Qs']}, {'Hanson': ['As', '9c']}] | ['Tc', 'Ts', '2s', 'Js', 'Kd'] | Kimice
Kimice | [{'Kimice': ['Ac', 'Kc']}, {'Hanson': ['8h', 'Kh']}] | ['8d', '8c', '6d', '7d', 'Ah'] | Hanson
Kimice | [{'Kimice': ['8c', '9h']}, {'Hanson': ['8s', '2h']}] | ['4d', '6s', 'Jc', '5d', '7h'] | Kimice
Hanson | [{'Kimice': ['9s', '6s']}, {'Hanson': ['Kd', '2d']}] | ['Qd', 'Kc', '4s', '3c', 'Ks'] | Hanson
Hanson | [{'Kimice': ['3h', 'Qc']}, {'Hanson': ['Ac', '6s']}] | ['9h', 'Qs', 'Ad', 'Tc', 'Ts'] | Hanson
Hanson | [{'Kimice': ['Jd', '6d']}, {'Hanson': ['5c', 'Qc']}] | ['8s', '7d', '5h', 'Ah', '6s'] | Kimice
Kimice | [{'Kimice': ['9h', 'As']}, {'Hanson': ['6c', 'Td']}] | ['6d', '7s', 'Qh', '2d', '3s'] | Hanson
Kimice | [{'Kimice': ['Jc', 'Tc']}, {'Hanson': ['Js', '5d']}] | ['9c', '5s', 'Qs', 'Ah', 'Ac'] | Hanson
Hanson | [{'Kimice': ['8c', '2h']}, {'Hanson': ['4s', 'Jc']}] | ['9d', '5d', '5h', '3d', '7c'] | Hanson
Kimice | [{'Kimice': ['3c', 'Tc']}, {'Hanson': ['4h', '7h']}] | ['7c', '2d', '7s', 'Kh', 'Kd'] | Hanson
Kimice | [{'Kimice': ['9d', '7s']}, {'Hanson': ['6d', '3c']}] | ['Ad', '3d', 'Tc', 'Qd', '9h'] | Kimice
Hanson | [{'Kimice': ['Qd', '6s']}, {'Hanson': ['Jh', 'Qh']}] | ['4h', '2h', '9s', 'Jd', '4c'] | Hanson
Hanson | [{'Kimice': ['2d', 'Jc']}, {'Hanson': ['Kd', '8s']}] | ['6h', '9h', 'Ad', '4c', 'Ks'] | Hanson
Kimice | [{'Kimice': ['4c', 'Ah']}, {'Hanson': ['5d', 'Ks']}] | ['3h', 'Qd', '9d', '6s', '7s'] | Kimice
Hanson | [{'Kimice': ['6h', 'Ad']}, {'Hanson': ['As', 'Kc']}] | ['Ks', 'Td', '4d', '4h', '7s'] | Hanson
Hanson | [{'Kimice': ['Kd', '3s']}, {'Hanson': ['Qd', 'Ad']}] | ['7s', 'Js', 'Tc', '7d', '3h'] | Kimice
Kimice | [{'Kimice': ['9d', '8c']}, {'Hanson': ['3c', '4h']}] | ['Ad', '6c', '4d', 'Qc', '2s'] | Hanson
Hanson | [{'Kimice': ['7s', 'Kc']}, {'Hanson': ['Ad', '6h']}] | ['Ah', 'Jd', '6c', '2h', 'Kd'] | Hanson
Hanson | [{'Kimice': ['9h', 'Tc']}, {'Hanson': ['2h', 'Ad']}] | ['6c', '4c', '2c', '9c', '6h'] | Kimice
Kimice | [{'Kimice': ['As', '8h']}, {'Hanson': ['Qc', '7h']}] | ['3d', 'Qs', '6s', '6h', '3c'] | Hanson
Kimice | [{'Kimice': ['9h', '9c']}, {'Hanson': ['8c', '2s']}] | ['As', '7h', 'Tc', '2d', '5h'] | Kimice
Hanson | [{'Kimice': ['Js', '5d']}, {'Hanson': ['Th', 'Qc']}] | ['Jh', '8h', 'Ah', 'Qh', '9s'] | Hanson
Hanson | [{'Kimice': ['6d', '5s']}, {'Hanson': ['8h', 'Kh']}] | ['Ad', 'Jh', 'As', '7s', '4h'] | Hanson
Hanson | [{'Kimice': ['2c', '9c']}, {'Hanson': ['4s', 'Qs']}] | ['2h', '8h', 'Js', '9h', '5s'] | Kimice
Hanson | [{'Kimice': ['6d', 'Qc']}, {'Hanson': ['8s', '8c']}] | ['7c', 'Ad', '6c', '4d', '4s'] | Hanson
Kimice | [{'Kimice': ['Tc', '8h']}, {'Hanson': ['7c', '3c']}] | ['6s', '6d', '4h', '4s', 'Qh'] | draw
Hanson | [{'Kimice': ['6s', '7d']}, {'Hanson': ['Th', 'Qs']}] | ['3h', '3c', '2s', 'Ac', '9c'] | Hanson
Kimice | [{'Kimice': ['Ad', 'Th']}, {'Hanson': ['3s', '9h']}] | ['5d', '5c', 'Jd', 'Kh', '5h'] | Kimice
Hanson | [{'Kimice': ['4c', '7s']}, {'Hanson': ['Qd', 'Kd']}] | ['Qh', 'Ac', '5c', '6c', '9h'] | Hanson
Hanson | [{'Kimice': ['2c', 'Js']}, {'Hanson': ['Qc', '8c']}] | ['9h', '7h', 'Qd', '4s', '3h'] | Hanson
Kimice | [{'Kimice': ['Td', '7s']}, {'Hanson': ['6s', '9d']}] | ['4h', '2s', '2h', '4s', 'Th'] | Kimice
Kimice | [{'Kimice': ['Th', 'Ac']}, {'Hanson': ['Jh', '9s']}] | ['2s', '6d', 'Ad', 'Tc', '2h'] | Kimice
Kimice | [{'Kimice': ['8s', 'Qh']}, {'Hanson': ['9h', '5d']}] | ['Jc', '2d', '8h', 'Jd', 'Kh'] | Kimice
Kimice | [{'Kimice': ['Js', 'Qc']}, {'Hanson': ['4h', '5s']}] | ['9h', 'Td', '3s', '2s', 'Qs'] | Kimice
Kimice | [{'Kimice': ['Js', '9h']}, {'Hanson': ['5d', '8c']}] | ['2d', '5s', '2s', '5h', '4h'] | Hanson
Hanson | [{'Kimice': ['5h', 'Ts']}, {'Hanson': ['Kc', '7h']}] | ['3c', 'Qs', '6d', 'Jc', '7s'] | Hanson
Hanson | [{'Kimice': ['3d', '4h']}, {'Hanson': ['Qc', '6h']}] | ['Qd', 'Jh', 'Kd', '8d', 'Ks'] | Hanson
Hanson | [{'Kimice': ['5d', '9h']}, {'Hanson': ['As', '9c']}] | ['7d', 'Tc', '6h', '6s', '3d'] | Hanson
Hanson | [{'Kimice': ['4d', 'Ts']}, {'Hanson': ['3d', 'Jd']}] | ['6s', '3c', '7s', 'Jc', 'Tc'] | Hanson
Hanson | [{'Kimice': ['5h', '3s']}, {'Hanson': ['4d', '8d']}] | ['4c', 'Kc', '2h', '7h', '8c'] | Hanson
Kimice | [{'Kimice': ['Jd', '4s']}, {'Hanson': ['6c', '9h']}] | ['Ac', 'Th', 'Qh', 'Kd', '7c'] | Kimice
Kimice | [{'Kimice': ['6s', '9s']}, {'Hanson': ['5h', '5c']}] | ['7h', '2s', 'Ks', 'Js', '4d'] | Kimice
Kimice | [{'Kimice': ['9s', 'Ah']}, {'Hanson': ['2s', '2d']}] | ['Jd', '9d', '6h', 'Js', '2c'] | Hanson
Kimice | [{'Kimice': ['Ah', '4h']}, {'Hanson': ['Ks', '3h']}] | ['As', 'Tc', '6s', '3d', '6d'] | Kimice
Hanson | [{'Kimice': ['Th', '6c']}, {'Hanson': ['8c', 'Ad']}] | ['2d', 'Tc', '8s', '8h', 'Kh'] | Hanson
Hanson | [{'Kimice': ['2h', '2c']}, {'Hanson': ['4d', '8c']}] | ['5c', '7c', 'As', 'Kc', 'Qc'] | Hanson
Hanson | [{'Kimice': ['Js', '2h']}, {'Hanson': ['Qh', '3h']}] | ['5d', '9d', 'Tc', '2s', '9c'] | Kimice
Hanson | [{'Kimice': ['2c', '2s']}, {'Hanson': ['Qh', 'Jh']}] | ['Ac', '9c', '5d', 'Ah', '7h'] | Kimice
Kimice | [{'Kimice': ['Jh', 'Qs']}, {'Hanson': ['4d', 'Kc']}] | ['8d', 'Jc', '3c', '9d', '7d'] | Kimice
Kimice | [{'Kimice': ['Ks', 'Ad']}, {'Hanson': ['8h', '3c']}] | ['3h', 'Jc', 'Ac', 'Kc', '4d'] | Kimice
Hanson | [{'Kimice': ['2s', '4c']}, {'Hanson': ['7s', 'As']}] | ['9d', 'Jd', '2h', '4s', 'Jh'] | Kimice
Kimice | [{'Kimice': ['8d', 'Jd']}, {'Hanson': ['6h', 'Kd']}] | ['6d', 'Jh', '7c', '6c', '8s'] | Hanson
Hanson | [{'Kimice': ['6h', '3c']}, {'Hanson': ['5s', 'Ks']}] | ['9c', '3s', '6c', 'Kd', 'Ad'] | Kimice
Kimice | [{'Kimice': ['Ts', '8d']}, {'Hanson': ['8h', '3h']}] | ['Qc', 'Jc', '3d', '5s', 'Kc'] | Hanson
Kimice | [{'Kimice': ['9s', '3c']}, {'Hanson': ['3d', '7s']}] | ['Js', '5s', 'Tc', '9d', 'Ad'] | Kimice
Kimice | [{'Kimice': ['Kd', 'Qd']}, {'Hanson': ['5h', '4c']}] | ['2c', '8d', '3d', 'Ah', '3h'] | Hanson
Hanson | [{'Kimice': ['Td', '5h']}, {'Hanson': ['6c', 'Js']}] | ['5c', 'Qh', 'Tc', '9h', '8d'] | Hanson
Hanson | [{'Kimice': ['6h', '8s']}, {'Hanson': ['Ks', '4d']}] | ['7d', 'Kd', '2s', '2h', '4s'] | Hanson
Kimice | [{'Kimice': ['7d', 'Qh']}, {'Hanson': ['7c', 'Jh']}] | ['Ah', 'Kd', '5c', 'Qd', '8c'] | Kimice
Kimice | [{'Kimice': ['Ts', 'Ac']}, {'Hanson': ['2c', '2s']}] | ['Jh', '7d', '4c', '6h', 'Ah'] | Kimice
Hanson | [{'Kimice': ['Jd', '5c']}, {'Hanson': ['Th', '7h']}] | ['5d', '3s', 'Qh', 'Jc', 'Js'] | Kimice
Kimice | [{'Kimice': ['4s', 'Js']}, {'Hanson': ['3h', 'Qh']}] | ['2s', '9s', 'Kc', '7d', 'Ad'] | Hanson
Hanson | [{'Kimice': ['2h', '3d']}, {'Hanson': ['5d', 'Ad']}] | ['Js', '2d', '5c', 'Jh', 'Qs'] | Hanson
Kimice | [{'Kimice': ['Ac', 'Ad']}, {'Hanson': ['Qs', 'Ah']}] | ['5c', 'Js', '3s', '8s', 'Ks'] | Hanson
Kimice | [{'Kimice': ['2h', 'Qs']}, {'Hanson': ['3c', '6s']}] | ['Qc', '4d', '5d', '8h', 'Qh'] | Kimice
Kimice | [{'Kimice': ['Qs', 'Jh']}, {'Hanson': ['Qd', '2h']}] | ['8h', '6s', 'Kd', '7h', '7s'] | Kimice
Hanson | [{'Kimice': ['Ah', '5d']}, {'Hanson': ['9s', 'Ad']}] | ['8c', 'Kh', '7d', '7c', 'Tc'] | draw
Hanson | [{'Kimice': ['5h', 'Tc']}, {'Hanson': ['Js', '4s']}] | ['5d', '3h', '6h', '6c', 'Td'] | Kimice
Hanson | [{'Kimice': ['4c', '4h']}, {'Hanson': ['Kc', 'Qd']}] | ['Jc', '4d', 'Td', '7c', '6d'] | Kimice
Kimice | [{'Kimice': ['Kc', '3h']}, {'Hanson': ['5c', 'Jc']}] | ['Jh', '8s', '4h', '7s', '8c'] | Hanson
Kimice | [{'Kimice': ['4s', 'Kh']}, {'Hanson': ['3c', '6h']}] | ['9h', '2s', '5d', '7d', '4h'] | Hanson
Hanson | [{'Kimice': ['8s', 'Ts']}, {'Hanson': ['Qh', 'As']}] | ['Ac', '2h', '6s', 'Ah', '4c'] | Hanson
Kimice | [{'Kimice': ['4h', 'Jd']}, {'Hanson': ['6d', '8s']}] | ['6s', '4c', '7h', 'Tc', 'Ks'] | Hanson
Kimice | [{'Kimice': ['9d', 'As']}, {'Hanson': ['Qc', '4c']}] | ['Ad', 'Ac', '4s', '5s', 'Ts'] | Kimice
Hanson | [{'Kimice': ['5s', '9s']}, {'Hanson': ['Js', 'Jh']}] | ['4c', '2s', '7c', 'Ks', 'Ad'] | Hanson
Kimice | [{'Kimice': ['Ts', '9h']}, {'Hanson': ['6h', '5c']}] | ['3s', '7c', '3d', '6d', '7s'] | Hanson
Hanson | [{'Kimice': ['6h', 'Tc']}, {'Hanson': ['7c', 'Js']}] | ['Ah', '4d', 'Ad', '8c', '4h'] | Hanson
Kimice | [{'Kimice': ['7c', '7h']}, {'Hanson': ['5c', '2c']}] | ['Qc', '9d', '8d', 'Ac', 'As'] | Kimice
Kimice | [{'Kimice': ['Js', 'Qc']}, {'Hanson': ['5s', '3d']}] | ['2h', '6c', '8c', 'Jc', '5c'] | Kimice
Kimice | [{'Kimice': ['Ad', 'Js']}, {'Hanson': ['Kc', '9h']}] | ['5c', '5h', 'Qc', 'Ah', '5d'] | Kimice
Hanson | [{'Kimice': ['8s', '6s']}, {'Hanson': ['Ks', 'Qc']}] | ['4s', '5c', '3h', '8h', 'Jd'] | Kimice
Kimice | [{'Kimice': ['Jh', '6s']}, {'Hanson': ['5c', '4h']}] | ['9d', '4c', '5h', '7h', 'As'] | Hanson
Kimice | [{'Kimice': ['Qs', 'Kh']}, {'Hanson': ['Ts', '5d']}] | ['4d', '2s', '4s', '6c', '5s'] | Hanson
Hanson | [{'Kimice': ['4c', '2d']}, {'Hanson': ['5s', 'Kc']}] | ['2h', 'Ac', 'Kd', '9c', 'Td'] | Hanson
Kimice | [{'Kimice': ['9d', '7h']}, {'Hanson': ['4s', '5c']}] | ['5d', 'Ah', '9c', '4d', '6s'] | Hanson
Hanson | [{'Kimice': ['5h', '3c']}, {'Hanson': ['6c', 'Qh']}] | ['Ks', '9c', '6h', 'Ad', '3d'] | Hanson
Hanson | [{'Kimice': ['4h', '7s']}, {'Hanson': ['8c', '5s']}] | ['6c', 'Kd', '2s', 'Ah', '3c'] | Hanson
Hanson | [{'Kimice': ['4h', '3s']}, {'Hanson': ['9h', '6c']}] | ['Kc', 'Jh', '2h', '6d', 'Jc'] | Hanson
Kimice | [{'Kimice': ['3d', 'Kh']}, {'Hanson': ['Jh', '6c']}] | ['Qh', 'Ks', 'Ac', 'Ts', 'Ad'] | Hanson
Hanson | [{'Kimice': ['5d', '6d']}, {'Hanson': ['Ts', '4h']}] | ['Jc', 'Td', '2c', '9d', '8c'] | Hanson
Hanson | [{'Kimice': ['5h', '8s']}, {'Hanson': ['7d', 'Qs']}] | ['5c', '4c', '5d', '8d', '8h'] | Kimice
Kimice | [{'Kimice': ['7h', '8s']}, {'Hanson': ['6c', '4d']}] | ['5h', 'Ts', '5s', '9s', '6d'] | Kimice
Hanson | [{'Kimice': ['6c', '2h']}, {'Hanson': ['3s', 'Qh']}] | ['9d', '9c', '7c', '7s', 'Jc'] | Hanson
Hanson | [{'Kimice': ['9d', '3d']}, {'Hanson': ['8s', '9c']}] | ['3h', 'Th', '2h', '5c', 'As'] | Kimice
Hanson | [{'Kimice': ['6c', '9d']}, {'Hanson': ['Kd', '6h']}] | ['2d', 'Ks', 'Ac', 'Jc', '5d'] | Hanson
Kimice | [{'Kimice': ['9d', 'Ah']}, {'Hanson': ['6h', 'Kc']}] | ['2d', '3c', '3s', '2s', '2c'] | draw
Kimice | [{'Kimice': ['5h', 'Jd']}, {'Hanson': ['4s', '7s']}] | ['Qs', 'Ac', '8d', '2h', '4d'] | Hanson
Kimice | [{'Kimice': ['Td', '5c']}, {'Hanson': ['3h', '8d']}] | ['6s', '7d', 'Kd', '3d', '7h'] | Hanson
Hanson | [{'Kimice': ['4d', 'Js']}, {'Hanson': ['Kd', '4h']}] | ['5h', 'Ah', '6c', 'Jd', '2h'] | Kimice
Hanson | [{'Kimice': ['4s', '7c']}, {'Hanson': ['Th', 'Jh']}] | ['3d', '7s', 'Kh', '5s', '3s'] | Kimice
Kimice | [{'Kimice': ['7d', '6h']}, {'Hanson': ['8c', '5d']}] | ['2s', '5h', '9s', '3s', 'Kd'] | Hanson
Hanson | [{'Kimice': ['3d', '4c']}, {'Hanson': ['9c', '2h']}] | ['4h', 'Jd', '6c', 'Ac', 'Qc'] | Kimice
Hanson | [{'Kimice': ['7h', '8c']}, {'Hanson': ['3h', 'Th']}] | ['4h', '6d', '9d', '7c', '3c'] | Kimice
Kimice | [{'Kimice': ['6d', 'Ah']}, {'Hanson': ['9d', '2d']}] | ['7s', '8s', 'Kd', '7c', 'Ac'] | Kimice
Hanson | [{'Kimice': ['3d', '4d']}, {'Hanson': ['8h', '8s']}] | ['Ks', '9h', 'Qs', '5h', '5d'] | Hanson
Hanson | [{'Kimice': ['2d', '6d']}, {'Hanson': ['5c', 'Th']}] | ['2s', '9d', '4s', '6c', 'Td'] | Kimice
Kimice | [{'Kimice': ['3d', 'Ad']}, {'Hanson': ['3c', 'Kd']}] | ['9c', '9s', '4c', 'Jc', 'Ac'] | Hanson
Kimice | [{'Kimice': ['Qc', 'Kh']}, {'Hanson': ['8s', '4c']}] | ['5h', 'Td', '9h', '9d', '8d'] | Hanson
Kimice | [{'Kimice': ['9s', 'Tc']}, {'Hanson': ['7d', 'Jh']}] | ['2s', '3h', 'Ad', '2d', '5d'] | Hanson
Hanson | [{'Kimice': ['5d', '3c']}, {'Hanson': ['Kc', 'Ad']}] | ['5s', '6h', '4c', '3d', '8d'] | Kimice
Hanson | [{'Kimice': ['5c', 'Td']}, {'Hanson': ['9c', 'Qc']}] | ['Jh', 'Jd', '4h', 'Kc', 'Qs'] | Hanson
Kimice | [{'Kimice': ['9s', '8s']}, {'Hanson': ['Js', '3d']}] | ['Kc', '6d', 'Jc', 'Ad', 'Kd'] | Hanson
Kimice | [{'Kimice': ['3h', 'Ah']}, {'Hanson': ['Tc', 'Kd']}] | ['Jd', 'Jc', '4c', '4d', '3d'] | Kimice
Kimice | [{'Kimice': ['Th', 'Jd']}, {'Hanson': ['2h', '4c']}] | ['Ad', '6d', '5d', '3h', 'Kh'] | Hanson
Kimice | [{'Kimice': ['Td', 'Qh']}, {'Hanson': ['3d', 'Ac']}] | ['Jh', 'Th', 'Qc', 'Jd', 'Kc'] | Hanson
Hanson | [{'Kimice': ['Jd', '3h']}, {'Hanson': ['Ks', '7d']}] | ['9c', '7s', '7c', '4d', '6s'] | Hanson
Hanson | [{'Kimice': ['7h', '5h']}, {'Hanson': ['Ac', '4c']}] | ['Td', '4s', '6c', 'Jh', '4d'] | Hanson
Kimice | [{'Kimice': ['Qh', 'As']}, {'Hanson': ['2d', '3h']}] | ['2c', 'Kc', '9h', '4h', '7d'] | Hanson
Kimice | [{'Kimice': ['8s', '9h']}, {'Hanson': ['6d', '9d']}] | ['Jd', 'Qd', 'Ks', 'As', 'Jh'] | draw
Hanson | [{'Kimice': ['9s', '6h']}, {'Hanson': ['Jd', '3h']}] | ['4c', '7h', '2c', 'Jh', 'Ks'] | Hanson
Hanson | [{'Kimice': ['8s', '5s']}, {'Hanson': ['Qd', '2d']}] | ['6s', '4s', '5h', '7h', 'Ad'] | Kimice
Hanson | [{'Kimice': ['Js', '5s']}, {'Hanson': ['6s', 'Qc']}] | ['3d', '9c', '3s', '8d', '6h'] | Hanson
Hanson | [{'Kimice': ['7c', '3d']}, {'Hanson': ['4c', '9s']}] | ['Qd', 'Tc', '8d', '5h', '5d'] | Hanson
Hanson | [{'Kimice': ['6h', '5h']}, {'Hanson': ['Ah', 'Js']}] | ['8h', 'Kc', 'Ks', '7s', 'Qd'] | Hanson
Kimice | [{'Kimice': ['Ah', 'Ad']}, {'Hanson': ['7c', '4c']}] | ['5s', 'Ac', '2c', '8h', 'Jh'] | Kimice
Kimice | [{'Kimice': ['5s', 'As']}, {'Hanson': ['3d', 'Jc']}] | ['3h', '5d', 'Td', '7h', '9d'] | Kimice
Hanson | [{'Kimice': ['4d', '2s']}, {'Hanson': ['6c', 'Qs']}] | ['2c', '9h', '2d', '7s', 'Qh'] | Kimice
Hanson | [{'Kimice': ['2s', 'Ac']}, {'Hanson': ['Js', 'As']}] | ['5h', '9h', '3h', '2d', 'Kd'] | Kimice
Hanson | [{'Kimice': ['3c', '7d']}, {'Hanson': ['Kd', '2d']}] | ['Kh', '2s', '6d', 'Qd', 'Qh'] | Hanson
Hanson | [{'Kimice': ['4d', 'Qs']}, {'Hanson': ['3h', 'Kh']}] | ['5s', '5h', '3d', '4s', '6h'] | Kimice
Kimice | [{'Kimice': ['4d', '4s']}, {'Hanson': ['3s', 'Qc']}] | ['6s', 'Ks', 'Ac', 'Ah', '5h'] | Kimice
Kimice | [{'Kimice': ['Ks', '6c']}, {'Hanson': ['Qd', '9s']}] | ['2h', '2d', 'Kd', '8s', '4s'] | Kimice
Kimice | [{'Kimice': ['8s', '9d']}, {'Hanson': ['5c', '7c']}] | ['Tc', 'Jd', '8c', 'Kc', '4c'] | Hanson
Hanson | [{'Kimice': ['2d', '2h']}, {'Hanson': ['5s', 'Ac']}] | ['7s', 'Th', '7h', 'Jc', '4h'] | Kimice
Kimice | [{'Kimice': ['Kd', '3d']}, {'Hanson': ['Js', '7s']}] | ['5c', '4s', 'Th', '4d', '6c'] | Kimice
Kimice | [{'Kimice': ['9c', 'Ac']}, {'Hanson': ['2c', '7c']}] | ['8c', 'Jc', '4h', '8h', '2d'] | Hanson
Kimice | [{'Kimice': ['Td', 'Jh']}, {'Hanson': ['6c', '9s']}] | ['6h', 'Ts', 'Js', '6d', 'Qd'] | Hanson
Kimice | [{'Kimice': ['Jh', 'Tc']}, {'Hanson': ['6s', 'Ks']}] | ['7h', 'Ac', '5s', '7d', '2d'] | Hanson
Kimice | [{'Kimice': ['8s', '3s']}, {'Hanson': ['6s', '4c']}] | ['7s', '4d', '5c', '2h', '6c'] | Kimice
Kimice | [{'Kimice': ['9c', '5c']}, {'Hanson': ['8h', '5s']}] | ['8d', 'Ah', '8s', '9h', 'Th'] | Hanson
Kimice | [{'Kimice': ['6d', '6c']}, {'Hanson': ['Js', '4h']}] | ['2c', 'Kc', '9c', '4d', '5s'] | Kimice
Kimice | [{'Kimice': ['Kc', 'Tc']}, {'Hanson': ['Ts', '7s']}] | ['2s', '4d', '9c', '6c', '5h'] | Kimice
Kimice | [{'Kimice': ['Kh', 'Td']}, {'Hanson': ['5s', 'Qd']}] | ['6s', '7h', '9s', '9h', 'Tc'] | Kimice
Kimice | [{'Kimice': ['4h', 'Ad']}, {'Hanson': ['Jd', '2h']}] | ['Ah', 'Qc', '9h', '4s', '7d'] | Kimice
Hanson | [{'Kimice': ['4s', 'Qd']}, {'Hanson': ['9c', '9s']}] | ['2s', 'Kh', 'Qs', '6d', '2d'] | Kimice
Kimice | [{'Kimice': ['Jh', '8h']}, {'Hanson': ['2c', '4c']}] | ['Ad', 'Js', 'Jd', 'Kh', 'Kc'] | Kimice
Kimice | [{'Kimice': ['7h', '8s']}, {'Hanson': ['Ts', '5h']}] | ['Jc', '7d', 'Jd', 'Qs', '2h'] | Kimice
Kimice | [{'Kimice': ['Kd', 'Ks']}, {'Hanson': ['7c', '6h']}] | ['Js', '4c', '9c', 'Kh', '2c'] | Kimice
Hanson | [{'Kimice': ['4h', '8d']}, {'Hanson': ['6s', 'Js']}] | ['8h', 'Th', 'Tc', '2s', '3d'] | Kimice
Kimice | [{'Kimice': ['Kc', 'Ac']}, {'Hanson': ['Qs', 'Jh']}] | ['Ad', '2h', 'Qd', '5h', '7s'] | Kimice
Hanson | [{'Kimice': ['Ts', '2s']}, {'Hanson': ['4d', '7d']}] | ['Tc', '5c', '2h', '6s', 'Js'] | Kimice
Hanson | [{'Kimice': ['8c', 'Ah']}, {'Hanson': ['Kh', 'Th']}] | ['Jh', '8s', 'Tc', '9s', 'Qs'] | Hanson
Kimice | [{'Kimice': ['Ah', '2s']}, {'Hanson': ['5h', 'Qh']}] | ['6h', '2d', '8s', '4c', '7d'] | Hanson
Kimice | [{'Kimice': ['Jh', '6h']}, {'Hanson': ['Jd', '3h']}] | ['Qd', '6s', '7d', '4s', '4h'] | Kimice
Kimice | [{'Kimice': ['5h', '9h']}, {'Hanson': ['2h', '8h']}] | ['Jd', 'Kd', '3s', '9c', 'As'] | Kimice
Hanson | [{'Kimice': ['5h', '7d']}, {'Hanson': ['Qd', '6h']}] | ['6c', '4s', 'Ac', '8c', '5c'] | Kimice
Hanson | [{'Kimice': ['Qh', '2c']}, {'Hanson': ['9h', 'As']}] | ['5s', '4c', 'Kd', '3d', 'Qc'] | Kimice
Hanson | [{'Kimice': ['7s', '2s']}, {'Hanson': ['Js', '7h']}] | ['8s', 'Kc', 'Jh', 'Td', '7c'] | Hanson
Kimice | [{'Kimice': ['Qc', '6h']}, {'Hanson': ['7h', '3c']}] | ['Jc', '6d', '6c', 'Kh', '4d'] | Kimice
Kimice | [{'Kimice': ['4d', 'Ac']}, {'Hanson': ['4h', '3h']}] | ['8d', 'Qc', '7s', '9d', 'Qs'] | Kimice
Kimice | [{'Kimice': ['Ad', '6d']}, {'Hanson': ['Ac', '6s']}] | ['8s', '3h', 'Jc', '4h', '9h'] | draw
Kimice | [{'Kimice': ['5h', '7c']}, {'Hanson': ['7d', '2s']}] | ['4s', 'Tc', 'Qc', 'Kd', 'Qs'] | draw
Hanson | [{'Kimice': ['6h', '4d']}, {'Hanson': ['9s', '4c']}] | ['4s', '7d', '6c', 'Tc', 'Jd'] | Kimice
Hanson | [{'Kimice': ['6c', '5s']}, {'Hanson': ['Ts', '3s']}] | ['3d', '9s', 'Ks', 'Js', 'Tc'] | Hanson
